numero_entrega,distancia_km,trafico,clima,hora_pico,tiempo_entrega
603,28.482327803304276,35.62506726314818,0,0,123.74187540074666
546,42.09455195458619,94.83932106290438,0,0,180.57712192831332
450,30.12417259893011,47.53753237804984,0,0,130.6781994960493
575,99.29782999101693,83.19114890915509,0,1,87.5826757487111
508,57.63996832925415,42.120980129795484,1,0,11.230797081606664
740,76.38578601746599,19.056349506779934,1,0,41.37565275452597
299,99.2309528677139,30.024472516388123,0,1,59.540315364594164
608,28.00929480285741,77.225087802097,0,0,183.17725210450544
611,4.403451592692232,0.9753392438226038,0,0,90.7596899722842
106,46.30221501335047,19.3533660730417,1,0,42.18599481497446
132,3.950920395113511,0.3965673094366906,0,0,123.11507342644286
996,24.133876247957488,32.261787057157065,1,0,32.68457579429213
620,91.77966270414198,48.64090128062482,0,1,111.8183790175235
578,55.995268486893636,80.2117197705981,0,0,187.2445281589758
671,10.999895365844935,48.67112113230622,0,1,145.83817908500743
522,77.94681231284594,79.92763502490325,0,0,157.23685577875898
700,88.69880879576488,98.87234484146224,1,1,102.44590439617232
103,71.56944285348831,35.54113271688546,1,0,39.38637603818357
387,41.109398805364194,58.42836412808591,0,1,91.57477371776767
474,49.483902040046054,54.93603212489169,0,1,73.1642298215682
88,48.79547899991289,31.692804127479025,1,0,47.42658126890737
923,39.92232473834052,56.24322632248775,1,1,136.90095844630343
164,81.64647731787994,33.94664248092262,1,0,17.359175953841415
611,8.66860744242578,78.83791468211841,0,1,118.0579276698657
777,88.94352078508139,71.46157025013294,1,0,107.85565984277585
578,73.85106307743975,47.12139234758463,0,0,142.97434937805423
953,80.32717796900022,90.97210648877144,1,0,68.17473040733108
174,73.77359028220906,69.8221075629494,0,0,58.69788897293269
719,23.1859311712831,24.23476330694525,1,1,141.60633031446025
546,51.82936216233326,41.48670115062513,1,1,89.43197201873977
31,62.972687475609334,49.631554645639106,0,1,66.16810571242702
133,76.13382036919296,43.59168906228683,1,0,37.91804391947252
1000,11.609498452412591,70.16578856337414,1,0,105.22754899868059
879,41.2587360350492,91.53938106103546,1,1,140.47523138938425
601,46.78910538016103,71.34559509532139,1,0,107.15218632577302
238,98.80299004932095,0.5374343309430651,1,0,40.770756143606455
632,16.888326951638476,16.076039090732984,0,0,86.14220586839237
792,33.86618675939216,4.781122488689782,1,1,114.84325705655806
87,13.598007228696819,32.27604249946363,1,0,45.09949411638464
981,74.50361828218341,52.34354710964563,0,1,109.73151746882584
526,85.7839876793013,95.28192234373878,1,1,102.2748205542861
236,14.48118608390213,70.0141071197724,1,1,108.18229878000139
391,61.66444189092526,71.12356485283844,1,1,67.6776565038044
332,2.7072754351064043,2.6024009704294415,1,0,19.739877254045265
787,8.871546228682458,0.22193301300277302,1,0,20.020613730932126
215,95.79907646487948,13.49718853958083,1,1,60.03990055178874
827,0.2721856137613443,4.985825257439325,1,0,32.97616612394971
812,8.582152625162454,3.990029368366199,1,0,46.49579365916997
235,73.25190734101612,69.010574315047,1,1,57.13552943642577
116,14.326489144963983,55.94879584752495,0,1,73.54444133879946
548,27.7496890508916,64.07891780583557,0,1,88.83487203561774
815,72.6658097039583,97.8235075408264,1,0,75.4479397113931
636,39.27293791730072,33.750967957762924,0,1,104.57521539728302
78,48.791710077587304,25.916180446614845,1,1,102.71685176333347
152,81.10249193570812,1.0014728223530778,0,1,108.97337545518141
